Sample_ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Category,Target
S0001,0.4967141530112327,1.3993554365860021,-0.6751782749743815,-1.907807557877391,-0.863493604964934,-0.42375968202270325,-1.1140813582330875,0.7851850823103762,B,-1.0220977875066108
S0002,-0.13826430117118466,0.9246336829127688,-0.14451867071551783,-0.8603850107795019,-0.031203488939083975,-0.45341410838385404,-0.63093083373779,-1.7776809623702012,A,0.40235682632124237
S0003,0.6476885381006925,0.05963036992017413,-0.7924199209999613,-0.41360553342164424,0.018016872044446585,-1.795643172630015,-0.9420601835742449,0.7147456498889451,B,0.9636118108628806
S0004,1.5230298564080254,-0.6469367777055739,-0.3079615296390403,1.8876876573401904,0.47263034584340563,-0.3300901917014373,-0.5479958187411378,-0.23372405785172545,C,0.9645989185912373
S0005,-0.23415337472333597,0.6982233136135899,-1.8936146669537857,0.5565531245337582,-1.3668583632808264,0.732829081821745,-0.21415031071118876,0.707457710864381,A,-0.8528193960722639
S0006,-0.23413695694918055,0.3934853854217496,0.21329370737293857,-1.3354815690998914,0.5925672738473307,-1.2742321190767951,0.8371544863313845,0.7769316923548287,A,0.38865852236868087
S0007,1.5792128155073915,0.8951932200277323,0.0012054753622242368,0.486036289417637,-2.704391631602775,1.0484826510505925,-0.32115903870570245,1.6079150611191575,A,-0.8998826170456962
S0008,0.7674347291529088,0.6351718016819695,-0.8170886310681906,-1.5473039889383655,-0.6298845523638104,0.4877748210843382,-1.5856257067695927,1.3534536476212031,B,-0.21054849973803336
S0009,-0.4694743859349521,1.0495527153193351,0.6592456684324051,1.0826910538870733,-0.48827384245154465,-0.7342333219710379,1.1400678464951604,1.3465716626102961,B,0.5201680989460166
S0010,0.5425600435859647,-0.535235211560568,0.9375701376265584,-0.4711246518178786,0.6333268260712385,-0.14152963733784743,-0.8370901336150396,1.4436703191662383,C,1.0613753366291845
